Track_ID,Obj_Class,BBox_CX,BBox_CY,BBox_W,BBox_H,Scene_Density,Ego_Drifting,Distance_m,Approach_Speed_kmh,Lateral_Speed_vx,Vertical_Speed_vy,TTC_sec,Target_Correct,Severity,Start_Timing,End_Quality,Reward_Score
2,car,315.0,208.67,40,32,7,False,60.0,130.58,0.83,4.16,1.65,0,3,c,1,0
66,truck,326.0,207.33,58,43,7,False,56.7,101.9,7.35,0.88,2.0,1,2,c,1,80
137,car,295.33,208.33,120,59,4,False,21.42,134.77,-19.98,0.0,0.57,1,1,c,1,100
97,car,454.67,211.33,39,20,4,False,60.51,-78.5,-82.23,4.61,999.0,0,3,c,1,0
171,car,457.0,212.67,42,26,2,False,53.09,-108.04,-97.73,-0.43,999.0,0,3,c,1,0
189,car,218.33,212.0,40,25,4,False,59.02,-110.08,48.29,2.5,999.0,0,3,c,1,0
206,car,116.33,216.33,78,48,6,False,30.38,49.08,151.52,-6.66,2.23,0,3,c,1,0
274,car,355.0,191.33,43,28,4,False,59.17,250.0,-1.67,-0.83,0.69,1,2,c,1,80
220,car,298.33,189.33,76,70,4,False,32.15,46.36,11.66,3.33,2.5,0,3,c,1,0
345,car,129.67,225.67,169,174,4,False,13.83,29.12,131.54,25.81,1.71,0,3,c,1,0
349,car,345.0,187.67,25,19,3,False,97.33,-55.43,-41.63,21.65,999.0,0,3,c,1,0
341,car,384.0,188.0,25,21,3,False,96.0,-63.2,-47.45,29.97,999.0,1,2,c,1,80
632,car,126.67,184.67,81,50,6,False,30.93,114.56,165.67,-0.83,0.97,0,3,c,1,0
736,car,252.33,224.67,72,51,1,False,35.75,250.0,-19.15,19.15,0.44,1,2,c,1,80
7,car,117.67,225.0,166,125,2,False,19.19,118.38,136.53,25.31,0.58,1,1,a,1,70
29,car,324.0,197.67,43,33,2,False,56.7,84.8,-16.65,-8.33,2.41,1,2,c,1,80
77,car,361.67,199.0,42,22,2,False,59.56,140.18,-9.99,-2.5,1.53,1,1,c,1,100
